dots,a,data
2,1,4.5
3,2,3.0740740740740744
5,3,1.9036800000000003
8,5,1.423828125
13,8,1.1851475788662857
21,13,1.080830518148303
34,21,1.0345242513858781
55,34,1.0146170562120072
89,55,1.0061234663262986
144,89,1.0025462851330311
233,144,1.0010516298680967
377,233,1.000431900897215
610,377,1.0001765082005496
987,610,1.0000718274052627
1597,987,1.0000291189566939
2584,1597,1.00001176544172
4181,2584,1.0000047395967642
6765,4181,1.0000019041754549
10946,6765,1.0000007631625838
17711,10946,1.0000003051889002
